epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15438.8,1.65521,1.96137,1.7599,0.34433,0.28947,0.29151,0.10842,2.17593,2.36829,2.2363,0.0011882,0.0011882,0.0011882
43,15806.7,1.6853,1.9744,1.77514,0.31076,0.38596,0.29415,0.10701,2.06694,2.37825,2.15865,0.0011684,0.0011684,0.0011684
44,16173.4,1.65954,1.96553,1.7611,0.3405,0.35088,0.30861,0.11295,2.10056,2.54648,2.2024,0.0011486,0.0011486,0.0011486
45,16539.6,1.67189,1.97775,1.76909,0.39378,0.42105,0.36045,0.13252,2.00276,2.19869,2.08281,0.0011288,0.0011288,0.0011288
46,16907.9,1.66072,1.9426,1.7573,0.33807,0.33333,0.28912,0.1075,2.02734,2.32882,2.09838,0.001109,0.001109,0.001109
47,17279,1.67834,1.95791,1.77169,0.35853,0.40351,0.31605,0.11084,2.06707,2.31213,2.17077,0.0010892,0.0010892,0.0010892
48,17648.1,1.64721,1.9341,1.75158,0.36689,0.4626,0.34321,0.1256,2.10871,2.34341,2.16112,0.0010694,0.0010694,0.0010694
49,18019.7,1.64996,1.95337,1.75715,0.40516,0.38837,0.35252,0.13182,2.08656,2.23617,2.11002,0.0010496,0.0010496,0.0010496
50,18419.8,1.67188,1.94897,1.77223,0.42405,0.39474,0.33159,0.11001,2.09456,2.34194,2.18446,0.0010298,0.0010298,0.0010298
51,18794.5,1.64701,1.95447,1.76406,0.45315,0.41228,0.35334,0.1252,2.06996,2.1719,2.14582,0.00101,0.00101,0.00101
52,19164.4,1.66596,1.91857,1.76571,0.39997,0.4327,0.3541,0.13489,2.04747,2.38554,2.13791,0.0009902,0.0009902,0.0009902
53,19535.2,1.62832,1.93778,1.75046,0.45444,0.45614,0.39821,0.14095,2.06674,2.15034,2.16228,0.0009704,0.0009704,0.0009704
54,19904.8,1.62864,1.90998,1.76023,0.43987,0.42982,0.35188,0.12931,2.04305,2.19091,2.15337,0.0009506,0.0009506,0.0009506
55,20271.8,1.64134,1.9308,1.75602,0.41893,0.5,0.34958,0.12711,2.04678,2.21983,2.13666,0.0009308,0.0009308,0.0009308
56,20639.4,1.62571,1.92658,1.75978,0.40921,0.35241,0.32296,0.1242,2.10498,2.18663,2.23846,0.000911,0.000911,0.000911
57,21012.2,1.63811,1.91732,1.75496,0.40513,0.46491,0.38445,0.13604,2.06299,2.15744,2.18539,0.0008912,0.0008912,0.0008912
58,21383.6,1.61902,1.90857,1.7476,0.39689,0.37719,0.33299,0.11323,2.08718,2.23665,2.16566,0.0008714,0.0008714,0.0008714
59,21757.2,1.59636,1.90159,1.74462,0.35517,0.44935,0.35749,0.12852,2.09089,2.22591,2.18078,0.0008516,0.0008516,0.0008516
60,22124.9,1.62539,1.90396,1.74021,0.42516,0.44119,0.3586,0.1299,2.00472,2.27564,2.11434,0.0008318,0.0008318,0.0008318
61,22492.5,1.618,1.90071,1.73435,0.3938,0.37719,0.33761,0.13,2.0363,2.29996,2.10462,0.000812,0.000812,0.000812
62,22859.7,1.61465,1.87472,1.73897,0.35016,0.4386,0.34477,0.12304,2.07791,2.55687,2.14583,0.0007922,0.0007922,0.0007922
63,23228.2,1.61209,1.88242,1.73451,0.32366,0.45614,0.31011,0.11376,2.09288,2.39592,2.14761,0.0007724,0.0007724,0.0007724
64,23601,1.60971,1.87057,1.72875,0.43918,0.46026,0.36853,0.12414,2.047,2.45669,2.15053,0.0007526,0.0007526,0.0007526
65,23971,1.60379,1.87311,1.72639,0.54492,0.38596,0.394,0.13427,2.04034,2.19347,2.11193,0.0007328,0.0007328,0.0007328
66,24342.9,1.61146,1.8682,1.73237,0.39773,0.4113,0.37257,0.13579,2.01949,2.19694,2.13785,0.000713,0.000713,0.000713
67,24714.3,1.61702,1.88365,1.74746,0.41007,0.36842,0.32664,0.12583,2.0472,2.38698,2.1798,0.0006932,0.0006932,0.0006932
68,25089.2,1.58573,1.85019,1.71791,0.39667,0.44737,0.35855,0.12707,2.01334,2.21849,2.13304,0.0006734,0.0006734,0.0006734
69,25459.3,1.564,1.8377,1.70781,0.48237,0.4386,0.40264,0.13119,2.03731,2.18491,2.14943,0.0006536,0.0006536,0.0006536
70,25829,1.57584,1.83977,1.72125,0.361,0.40351,0.34598,0.13085,2.10202,2.22007,2.20538,0.0006338,0.0006338,0.0006338
