epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.803,2.38939,2.57637,2.02423,0.02882,0.14912,0.01247,0.00257,3.15444,17.8674,3.39568,0.000656716,0.000656716,0.000656716
2,349.648,2.11571,2.14538,1.87382,0.17258,0.09649,0.04007,0.00841,3.14797,3.52681,3.09175,0.00131028,0.00131028,0.00131028
3,518.812,2.132,2.17484,1.89103,0.02527,0.03509,0.00413,0.00092,4.0247,4.04359,3.95911,0.00195065,0.00195065,0.00195065
4,686.781,2.08099,2.11214,1.86399,0.02256,0.16667,0.01368,0.00356,3.06865,3.4694,3.02578,0.0019406,0.0019406,0.0019406
5,855.968,2.06642,2.11452,1.856,0.15526,0.18421,0.0999,0.02858,2.54027,2.75308,2.26459,0.0019208,0.0019208,0.0019208
6,1023.29,2.0311,2.08574,1.83894,0.00954,0.67544,0.01354,0.00402,2.95975,3.5,2.70625,0.001901,0.001901,0.001901
7,1193.82,2.03382,2.09256,1.84278,0.16515,0.07018,0.05249,0.01351,2.98006,2.96643,2.9478,0.0018812,0.0018812,0.0018812
8,1364.24,1.97848,2.06702,1.80997,0.02339,0.36842,0.02407,0.00644,2.85723,3.41579,2.49804,0.0018614,0.0018614,0.0018614
9,1534.6,1.97338,2.04877,1.77162,0.0121,0.5,0.01725,0.0041,2.7885,3.76552,2.62883,0.0018416,0.0018416,0.0018416
10,1702.59,1.95031,2.06668,1.7535,0.20355,0.24561,0.11676,0.03099,2.48509,2.78234,2.20732,0.0018218,0.0018218,0.0018218
11,1873.12,1.93342,2.02631,1.75821,0.16734,0.15789,0.11895,0.03864,2.41822,2.80112,2.16229,0.001802,0.001802,0.001802
12,2044.11,1.92672,2.04675,1.75401,0.26633,0.30702,0.24602,0.09257,2.17184,2.35495,2.0243,0.0017822,0.0017822,0.0017822
13,2215.53,1.91436,2.01866,1.77036,0.22362,0.2807,0.19695,0.06686,2.29869,2.37782,2.20557,0.0017624,0.0017624,0.0017624
14,2385.69,1.89781,2.00038,1.74194,0.1704,0.13158,0.1196,0.03396,2.37848,3.09638,2.1177,0.0017426,0.0017426,0.0017426
15,2555.18,1.90277,2.01705,1.7435,0.15547,0.2193,0.10099,0.03393,2.42795,2.85385,2.12885,0.0017228,0.0017228,0.0017228
16,2726.45,1.85702,2.00271,1.72644,0.16543,0.20175,0.13322,0.04755,2.23205,2.94775,2.09103,0.001703,0.001703,0.001703
