epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,2897.36,1.87239,2.00579,1.71611,0.27363,0.2049,0.18004,0.06433,2.19099,2.40444,2.00938,0.0016832,0.0016832,0.0016832
18,3067.02,1.88725,1.97619,1.74308,0.29307,0.29094,0.22565,0.07552,2.42288,2.44988,2.2434,0.0016634,0.0016634,0.0016634
19,3236.41,1.86091,1.96912,1.72978,0.14355,0.11404,0.04537,0.0115,2.72119,4.33238,2.4591,0.0016436,0.0016436,0.0016436
20,3404.02,1.85866,1.99297,1.7222,0.37333,0.29825,0.28058,0.09425,2.24685,2.5285,2.06042,0.0016238,0.0016238,0.0016238
21,3574.01,1.84409,1.95945,1.73319,0.09626,0.24561,0.10184,0.03038,2.27935,2.98242,2.10802,0.001604,0.001604,0.001604
22,3747.94,1.85396,1.98125,1.72023,0.26942,0.29825,0.23147,0.08677,2.20263,2.69695,2.04937,0.0015842,0.0015842,0.0015842
23,3916.61,1.84218,1.95868,1.70663,0.25887,0.09649,0.12656,0.03665,2.50634,2.85907,2.21949,0.0015644,0.0015644,0.0015644
24,4084.87,1.83422,1.9603,1.71929,0.34933,0.35088,0.29857,0.09933,2.24217,2.29599,2.11914,0.0015446,0.0015446,0.0015446
25,4253.2,1.82221,1.95195,1.68589,0.22543,0.22807,0.1794,0.06228,2.16546,2.43013,1.93534,0.0015248,0.0015248,0.0015248
26,4421.28,1.83902,1.95446,1.69185,0.21327,0.22807,0.15842,0.05142,2.32261,2.6203,2.11809,0.001505,0.001505,0.001505
27,4592.92,1.81094,1.97848,1.70059,0.30526,0.28908,0.22245,0.08112,2.18869,2.33477,2.0322,0.0014852,0.0014852,0.0014852
28,4764.96,1.82076,1.96289,1.69736,0.18985,0.26316,0.12102,0.03709,2.38775,3.00455,2.3619,0.0014654,0.0014654,0.0014654
29,4935.15,1.79488,1.95825,1.69688,0.30644,0.35088,0.25127,0.08516,2.27139,2.37084,2.04991,0.0014456,0.0014456,0.0014456
30,5104.99,1.79744,1.92743,1.70722,0.25252,0.34211,0.253,0.08327,2.17011,2.26825,2.02816,0.0014258,0.0014258,0.0014258
31,5273.63,1.82374,1.93836,1.72569,0.30024,0.29825,0.23243,0.07533,2.29589,2.39441,2.15829,0.001406,0.001406,0.001406
32,5443.33,1.79367,1.9439,1.69223,0.32849,0.31579,0.2402,0.09446,2.2726,2.375,2.12821,0.0013862,0.0013862,0.0013862
33,5613.15,1.79863,1.92177,1.69673,0.37449,0.40351,0.28044,0.09124,2.23353,2.29791,2.10856,0.0013664,0.0013664,0.0013664
34,5780.95,1.81449,1.93347,1.69922,0.23848,0.26923,0.21256,0.08236,2.27499,2.35225,2.14506,0.0013466,0.0013466,0.0013466
35,5953.12,1.8095,1.93841,1.69907,0.29609,0.35088,0.24623,0.08958,2.16162,2.48748,2.01314,0.0013268,0.0013268,0.0013268
36,6124.14,1.7935,1.90949,1.67819,0.19094,0.21053,0.1327,0.03362,2.54971,3.0983,2.25608,0.001307,0.001307,0.001307
37,6296.24,1.78471,1.90918,1.68064,0.31226,0.2193,0.2145,0.07483,2.27796,2.46373,2.08654,0.0012872,0.0012872,0.0012872
38,6466.64,1.78284,1.90299,1.69415,0.27381,0.29825,0.25408,0.09629,2.25135,2.30518,2.07677,0.0012674,0.0012674,0.0012674
39,6637.67,1.77017,1.88145,1.67995,0.31248,0.29902,0.24001,0.08595,2.11727,2.35918,2.06755,0.0012476,0.0012476,0.0012476
40,6808.4,1.76445,1.91153,1.6789,0.2196,0.30856,0.18255,0.05719,2.15362,2.66485,2.04396,0.0012278,0.0012278,0.0012278
41,6978.24,1.75053,1.88894,1.67332,0.28383,0.36842,0.25552,0.09801,2.1674,2.32302,2.04146,0.001208,0.001208,0.001208
42,7146.64,1.75565,1.87803,1.67586,0.24271,0.33333,0.17747,0.05892,2.30763,2.35622,2.21367,0.0011882,0.0011882,0.0011882
43,7317.01,1.76869,1.89128,1.69308,0.41157,0.37719,0.29557,0.09356,2.17452,2.50514,2.11938,0.0011684,0.0011684,0.0011684
44,7487.82,1.77463,1.88218,1.68555,0.30037,0.35088,0.27916,0.09557,2.1522,2.29194,2.10463,0.0011486,0.0011486,0.0011486
